Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS,000660.KS,005380.KS,005930.KS,207940.KS,373220.KS
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,86927.4765625,88180.109375,48488.515625,747000.75,,88523.33736332343,90574.13949377828,49089.258296460175,751564.875,,86364.23157397409,87781.10435520361,48231.054480088496,741675.875,,87584.59571578023,90175.1344739819,48488.515625,747000.75,,3281612,1746834,18716656,61405,
2020-03-09,86927.4765625,88180.109375,48488.515625,751564.875,,86927.4765625,88180.109375,48488.515625,760693.1875,,86927.4765625,88180.109375,48488.515625,734829.625,,86927.4765625,88180.109375,48488.515625,736351.0,,0,0,0,132845,
2020-03-10,83641.8828125,81397.0390625,46857.921875,754607.6875,,83923.50531355219,83791.06962316176,47115.382984203294,756129.0625,,81295.02863706509,80599.02887561274,46085.53854739011,739393.8125,,81576.65113811727,81796.04415594363,46171.35891712454,743957.9375,,6579153,2491487,32106554,102697,
2020-03-11,80262.4140625,79801.0,44712.41796875,736351.0,,83078.63911732456,82195.03,46686.28670825336,781992.625,,79886.91738852339,79561.597,44626.5975887716,724940.625,,82797.0166118421,82195.03,46600.46632827495,771342.9375,,5226251,2005654,45707281,132710,
2020-03-12,77727.796875,79801.0,44712.41796875,734829.625,,79417.53158967392,79801.0,44712.41796875,743957.9375,,74723.82404891304,79801.0,44712.41796875,710487.4375,,78666.53838315218,79801.0,44712.41796875,730265.5,,8191818,0,0,160956,
2020-03-13,77446.1953125,69586.484375,42867.27734375,694512.875,,79511.4271875,71980.51480074541,44283.31353228228,727222.6875,,71344.37386363637,66633.846849914,40206.84571681056,638982.3125,,72189.24144886364,69027.87727565941,40721.76796718594,707444.6875,,8160758,4835445,59462933,313590,
2020-03-16,75662.578125,66155.03125,41966.16015625,654196.1875,,79605.29311414392,71421.89742913148,43682.567524603786,721897.875,,75474.82979218362,66155.03125,41880.33978783231,653435.5,,78572.67728365384,70464.28539656212,42996.00457726227,704401.9375,,5097762,2674557,33339821,143532,
2020-03-17,75474.8359375,63920.61328125,40593.03125,635178.8125,,78009.43863689367,66554.04678721911,42609.809758192394,658760.3125,,72283.11401974503,62324.59297460206,40078.10907769556,623007.75,,72752.4848900031,62324.59297460206,40249.74980179704,623768.4375,,7107436,2492208,51218151,278439,
2020-03-18,68622.0078125,58653.734375,39134.09765625,609315.25,,77446.17844775991,64798.41130952381,41494.15837016858,650392.6875,,68528.13365680574,58653.734375,39134.09765625,609315.25,,76601.31104651163,64239.80431547619,40979.23603258635,647349.9375,,7949482,2679420,40152623,181995,
2020-03-19,64773.17578125,52588.86328125,36859.83984375,556827.4375,,71156.61919157609,60568.963930908576,40035.19275229191,632896.75,,61769.20241168478,51950.455229277315,36302.007576033175,535528.0,,70874.99668817935,59850.7548724393,39820.64188009313,623768.4375,,11140367,3138004,56925513,309338,
